Protein,beta,se,pval,QEp,RR,RR_LCI,RR_UCI
FAS,0.24704359377885243,0.04657876869540038,1.134283096543621e-7,0.608406112822008,1.280234921839859,1.1685350668546262,1.4026121265748999
FGF-23,0.40727343691027207,0.04585934594787357,6.630632545825503e-19,0.32822736187087903,1.5027149472219552,1.373539205667565,1.6440391386620674
FS,0.24308490516010295,0.05247404558187475,3.61313296100356e-6,0.6234742451734665,1.275176888620175,1.150547211969988,1.4133067121051321
Gal-3,0.19151849338537716,0.05359815681844857,3.526060125212292e-4,0.5654855336849492,1.2110872300357653,1.0903165167017836,1.345235311295274
GDF-15,0.5097979469014191,0.047263548566185476,3.996332899471689e-27,0.2610302261486098,1.6649547516907537,1.5176500122567873,1.826557047270384
GH,0.048938362709186584,0.04668363870020291,0.2945013542286415,0.27377441596862373,1.0501556199977857,0.9583330713329944,1.1507761332695694
HB-EGF,0.12377528012646347,0.050592626356619874,0.01442474774686491,0.711312967324855,1.1317615131165089,1.024921018586785,1.2497393451233152
HGF,0.3067006965624931,0.04798601553987778,1.6430931893144552e-10,0.04570298904116036,1.3589341735280323,1.2369514374866475,1.4929463130214846
HSP,0.27316364057940123,0.07375848530870674,2.1265552550442813e-4,0.05788354008468954,1.314115269815005,1.1372347590780902,1.5185070000506224
IL16,0.23944525343809966,0.04985768223924678,1.566381954370983e-6,0.3404525838570078,1.270544124799268,1.1522608764594695,1.400969525253789
IL-18,0.21393947081334713,0.0465623220795821,4.3339151013664635e-6,0.9283923920313267,1.238547684240564,1.1305214613499552,1.356896280682646
IL-1ra,0.21500347268374995,0.047040302570434414,4.862772025466616e-6,0.020807747040856448,1.2398662026217997,1.1306652471859808,1.3596139124553277
IL-27,0.2840080738114723,0.05839000941405769,1.15046195066927e-6,0.8522493615494844,1.3284436563131292,1.1847902542680588,1.4895147403865445
IL-6,0.30689588071823476,0.04299291712877623,9.44995755809646e-13,0.05313135712554758,1.3591994418346438,1.2493598642671193,1.4786957509374732
IL-6RA,0.11049877429525518,0.04880903623428965,0.023580269532447483,0.6153589409467601,1.1168349801413449,1.014945403260548,1.2289531721216307
IL-8,0.14195219168078588,0.04466266659575999,0.001481317902102026,0.6049430823466626,1.152521547101837,1.055922691396752,1.257957544957157
ITGB1BP2,0.14473439123519333,0.06903047549161975,0.03602245893661103,0.2877588800126282,1.155732556800234,1.0094818157022882,1.323171672903051
KIM-1,0.3917700268264889,0.04673201313174571,5.1449663378073637e-17,0.5909442423894807,1.4795974045624203,1.3500977053478922,1.6215185544839785
